Nome;ID;Link;Nome Categoria;ID Categoria;Costo;Difficoltà;Tempo Preparazione;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità
Brasato al Barolo;47;https://ricette.giallozafferano.it/Brasato-al-Barolo;Secondo Piatto;4;5;2;170;Manzo;21;5;Vino;272;3;Carote;49;2;Sedano;54;2;Cipolla;165;1;Aglio;107;1;Rosmarino;207;1;Alloro;128;1;Chiodi di Garofano;66;1;Pepe Nero;24;1;Cannella;64;1;Burro;40;1;Olio;163;1;;;;;;;;;;;;;;;;Cottura lenta;7;4;Marinatura;4;3;;;;;;;;;
Baccalà in umido;48;https://ricette.giallozafferano.it/Baccala-in-umido;Secondo Piatto;4;3;2;70;Merluzzo;68;5;Cipolla;165;1;Farina;100;2;Pomodoro;253;3;Olio;163;1;Capperi;47;1;Olive;164;1;Origano;168;1;Vino;272;1;Pepe Nero;24;1;Prezzemolo;173;1;;;;;;;;;;;;;;;;;;;;;;Stufatura;9;4;Rosolatura;2;3;;;;;;;;;
Saltimbocca alla Romana;49;https://ricette.giallozafferano.it/Saltimbocca-alla-Romana;Secondo Piatto;4;3;2;25;Vitello;265;5;Prosciutto Cotto;118;4;Salvia;210;1;Farina;100;2;Vino;272;1;Burro;40;1;Pepe Nero;24;1;Olio;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;5;;;;;;;;;;;;
Fiori di zucca in pastella;50;https://ricette.giallozafferano.it/Fiori-di-zucca-in-pastella;Antipasto;1;2;2;25;Fiori di Zucca;277;4;Olio;163;3;Farina;100;2;Uova;90;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;;;;;;;;;;;;
Gnocco fritto;51;https://ricette.giallozafferano.it/Gnocco-fritto;Antipasto;1;2;4;62;Strutto;126;3;Farina;100;3;Latte;146;2;Olio;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;;;;;;;;;;;;
Pollo al limone;52;https://ricette.giallozafferano.it/Pollo-al-limone;Secondo Piatto;4;2;2;35;Pollo;58;5;Farina;100;3;Olio;163;3;Origano;168;1;Limone;130;3;Amido di Mais;76;1;Salsa di Soia;232;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;4;Rosolatura;2;3;;;;;;;;;
Insalata di riso;53;https://ricette.giallozafferano.it/Insalata-di-riso-classica;Primo Piatto;3;2;2;35;Riso;201;4;Tonno;260;2;Pomodoro;253;2;Caciocavallo;42;2;Prosciutto Cotto;118;2;Piselli;177;2;Peperone;180;2;Olive;164;2;Cetriolo;81;2;Erba Cipollina;62;1;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;;;;;;;;;;;;
Piadina Romagnola;54;https://ricette.giallozafferano.it/Piadina-Romagnola;Pasto Completo;2;1;2;34;Farina;100;2;Strutto;126;1;Prosciutto;191;3;Squacquerone;238;3;Rucola;205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rosolatura;2;5;;;;;;;;;;;;
Zuppa di ceci;55;https://ricette.giallozafferano.it/Zuppa-di-ceci;Primo Piatto;3;2;2;130;Ceci;59;4;Carote;49;2;Sedano;54;2;Cipolla;165;1;Olio;163;1;Rosmarino;207;1;Pepe Nero;24;1;Alloro;128;1;Brodo Vegetale;266;2;Pomodoro;253;2;;;;;;;;;;;;;;;;;;;;;;;;;Stufatura;9;4;Rosolatura;2;3;;;;;;;;;
Spaghetti al tonno;56;https://ricette.giallozafferano.it/Spaghetti-al-tonno;Primo Piatto;3;1;1;15;Spaghetti;234;5;Tonno;260;3;Pomodoro;253;1;Olio;163;1;Pepe Nero;24;1;Basilico;17;1;Cipolla;165;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;;;;;;;;;
Pollo al curry;57;https://ricette.giallozafferano.it/Pollo-al-curry;Secondo Piatto;4;2;2;35;Pollo;58;4;Cayenna;53;2;Paprika;171;2;Cumino;82;2;Pepe Nero;24;2;Yogurt;274;1;Curcuma;262;2;Cannella;64;2;Coriandolo;74;2;Aglio;107;1;Peperoncino;61;2;Zenzero;108;1;Olio;163;2;Cipolla;165;2;Riso;201;3;Cardamomo;48;1;Anice;6;1;;;;Rosolatura;2;1;Marinatura;4;1;Bollitura;1;3;Cottura lenta;7;3;;;
Spezzatino di vitello con patate;58;https://ricette.giallozafferano.it/Spezzatino-di-vitello-con-patate;Secondo Piatto;4;2;2;150;Vitello;265;4;Patata;188;3;Carote;49;2;Sedano;54;1;Cipolla;165;1;Olio;163;1;Brodo di Manzo;22;2;Pepe Nero;24;1;Farina;100;1;Vino;272;1;Salvia;210;1;Rosmarino;207;1;Timo;252;1;;;;;;;;;;;;;;;;Stufatura;9;5;Cottura lenta;7;3;Rosolatura;2;3;;;;;;
Risotto alla salsiccia;59;https://ricette.giallozafferano.it/Risotto-alla-salsiccia;Primo Piatto;3;3;2;50;Riso;201;5;Salsiccia;216;4;Brodo di Manzo;22;3;Zafferano;209;2;Vino;272;2;Scalogno;229;1;Pepe Nero;24;1;Olio;163;1;Burro;40;2;Parmigiano;172;2;;;;;;;;;;;;;;;;;;;;;;;;;Rosolatura;2;3;Mescolamento;5;4;;;;;;;;;
Crocchette di patate;60;https://ricette.giallozafferano.it/Crocchette-di-patate;Antipasto;1;1;2;75;Patata;188;5;Uova;90;3;Noce Moscata;160;1;Pepe Nero;24;1;Parmigiano;172;2;Pane;32;2;Olio;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;Bollitura;1;3;;;;;;;;;
Riso alla cantonese;61;https://ricette.giallozafferano.it/Riso-alla-cantonese;Primo Piatto;3;2;1;40;Riso;201;5;Piselli;177;3;Prosciutto Cotto;118;3;Uova;90;3;Vino;272;1;Olio;163;1;Erba Cipollina;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;;;;;;;;;
Gnocchi alla sorrentina;62;https://ricette.giallozafferano.it/Gnocchi-alla-sorrentina;Primo Piatto;3;2;2;70;Patata;188;4;Farina;100;4;Uova;90;2;Pomodoro;253;3;Basilico;17;1;Aglio;107;1;Olio;163;1;Mozzarella;153;3;Parmigiano;172;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Forno;6;2;Rosolatura;2;1;;;;;;
Paccheri al sugo di calamari;63;https://ricette.giallozafferano.it/Paccheri-al-sugo-di-calamari;Primo Piatto;3;3;2;45;Calamari;239;4;Paccheri;169;5;Pomodoro;253;3;Olio;163;1;Vino;272;1;Peperoncino;61;1;Aglio;107;1;Prezzemolo;173;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;;;;;;;;;
Orecchiette broccoli e salsiccia;64;https://ricette.giallozafferano.it/Orecchiette-broccoli-e-salsiccia;Primo Piatto;3;2;1;35;Orecchiette;167;4;Broccoli;35;3;Salsiccia;216;3;Vino;272;1;Aglio;107;1;Timo;252;1;Rosmarino;207;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;;;;;;;;;
